,post,lang,age_group,proximal,medial,distal
84,임종득이는 왜? 모든 사람과 적대를 하고 있지? 자격미달?,kr,1,1,0,0
85,기본소득 저거 국민들세금이자너 당으로 만들었다고 당당하게 ㅋㅋㅋ 사건 터지면 국민들 위하는척,kr,1,1,0,1
86,할말이있고 안할말지있지..😞,kr,1,1,0,0
87,"나이가 많은게 왕인건지.. 아님 할배정신인건지
정치도 이제 젊게 가야지 너무 어르신들이 정치한다.. 마인드가 너무 늙어 ㅜ",kr,1,3,0,0
88,"임종득 퇴출 말짱 꼬셔요,,아무리 나이어린 의원님 이라해도 막말하고 막나가는 임종득 다시 공부하세요",kr,1,2,0,0
89,용혜인의원님 좋습니다. 국힘들 죄다 왜저리무식한건지,kr,1,0,0,1
90,똑순이 용혜인 의원님 응원합니다,kr,1,1,0,0
91,"임종득 얼빠진 작자 입니다
국힘당 의원들 탄핵 인용되면 저자들도
내란옹호로 수사해야 합니다",kr,1,0,0,1
92,용혜인의원님 멋지십니다 화이팅입니다,kr,1,1,0,0
93,북한 공산당이네 용씨,kr,1,1,0,0
94,저런사람에게표를준우리스스로를탓해야~~,kr,1,0,0,1
95,화이팅,kr,1,1,0,0
96,임종득 같은 사람들이 있으니까 나라가 망하는거임,kr,1,1,0,0
97,퇴출이죵~~~,kr,1,1,0,0
98,임종득 저거는 툭하면 막말이야,kr,1,1,0,1
99,용혜인 잘한다 응원함니다 힘내세요 화이팅! 국힘절대로 표주지마세요.,kr,1,1,0,0
100,용혜인은 그냥👍🏻👍🏻,kr,1,0,1,0
101,제발 용혜인의원님이 대통령 해주셨으면 좋겠다,kr,1,1,0,0
102,"여기 용해인님 비하하는 댓글 알바들 많으신듯
댓글 하나당 얼마에요? 살림살이 나아지셨어요?",kr,1,1,0,0
103,이분이 대통령하면망합니다,kr,1,2,0,0
104,대통령감이야. 썩열이보다 1000배는 잘해,kr,1,2,0,0
105,임종득 왜 그러니? 국짐당은 왜그래 말하는것도 도에 어긋나고~~,kr,1,0,2,0
106,추잡당 행실이 그런거 뭐,kr,1,1,1,0
107,"임종득 자것도 국회의원이라고~~
저딴게 대구 경북 아니면 동네반장도 못했다",kr,1,1,0,1
108,용혜인 위원님 화이팅!!!,kr,1,1,0,0
109,어린이놀이터네,kr,1,2,0,0
110,용혜인 국회의원같은 사람이 있으니깐 다행이지 없으면 우리나라 망함,kr,1,2,0,0
111,이분이 있어서 대한미국이 살아 있다...,kr,1,3,0,0
112,임종득 관상은 과학이네,kr,1,1,0,0
113,"의원님 화아팅하새요
의원님 으로인해 이 나라가 삶 니다",kr,1,1,0,0
114,요즘나라보면내가먼저정신나가고싶네요윤석열이가정신나가니모두들미처가는구나,kr,1,1,0,1
115,저 여자는 평생 싸우고 소리지르며 살았을 듯,kr,1,0,0,1
116,용혜인위원님 파이팅 🥰,kr,1,1,0,0
117,용혜인님 화이팅!!!,kr,1,1,0,0
118,저리 꽥꽥 고함 질러도 되나? 임종득의원님 화이팅하세요🥰🥰,kr,1,1,0,1
119,소리지르는것도모욕이다.,kr,1,1,0,0
120,그냥 국회의원 전체 물갈이 했으먄,kr,1,1,1,0
121,용혜인 의원 응원합니다. 똑똑하고 강단있고 매우 합리적이다 . 대통령 선거 나와서 대통령 되엇으면 합니다..,kr,1,1,0,0
122,"이나라는. 비례따워. 왜뽑는건지
세금 아깝다 국 개의원들",kr,1,1,0,0
123,용혜인 의원님 속이시원합니다 화이팅♡♡♡,kr,1,2,0,0
124,종득이가 정신나간거,kr,1,1,0,0
125,그냥 국회의원 전체 물갈이 했으먄,kr,1,1,1,0
126,용혜인 의원님 속이시원합니다 화이팅♡♡♡,kr,1,2,0,0
127,저리 꽥꽥 고함 질러도 되나? 임종득의원님 화이팅하세요🥰🥰,kr,1,1,0,1
128,용혜인님 화이팅!!!,kr,1,1,0,0
129,소리지르는것도모욕이다.,kr,1,1,0,0
130,"나갔으먼 들어오먼되지..
그 머시라꼬",kr,1,0,1,0
131,이런것들이 국세를 축내는데 우리국민들은 정말순하시다.,kr,1,2,0,0
132,화이팅!,kr,1,1,0,0
